country,hdi
Norway,0.954
Switzerland,0.946
Ireland,0.942
Germany,0.939
"Hong Kong, China (SAR)",0.939
Australia,0.938
Iceland,0.938
Sweden,0.937
Singapore,0.935
Netherlands,0.933
Denmark,0.93
Finland,0.925
Canada,0.922
New Zealand,0.921
United Kingdom,0.92
United States,0.92
Belgium,0.919
Liechtenstein,0.917
Japan,0.915
Austria,0.914
Luxembourg,0.909
Israel,0.906
South Korea,0.906
Slovenia,0.902
Spain,0.893
Czech Republic,0.891
France,0.891
Malta,0.885
Italy,0.883
Estonia,0.882
Cyprus,0.873
Greece,0.872
Poland,0.872
Lithuania,0.869
United Arab Emirates,0.866
Andorra,0.857
Saudi Arabia,0.857
Slovakia,0.857
Latvia,0.854
Portugal,0.85
Qatar,0.848
Chile,0.847
Brunei,0.845
Hungary,0.845
Bahrain,0.838
Croatia,0.837
Oman,0.834
Argentina,0.83
Russia,0.824
Belarus,0.817
Kazakhstan,0.817
Bulgaria,0.816
Montenegro,0.816
Romania,0.816
Palau,0.814
Barbados,0.813
Kuwait,0.808
Uruguay,0.808
Turkey,0.806
Bahamas,0.805
Malaysia,0.804
Seychelles,0.801
Serbia,0.799
Trinidad and Tobago,0.799
Iran,0.797
Mauritius,0.796
Panama,0.795
Costa Rica,0.794
Albania,0.791
Georgia,0.786
Sri Lanka,0.78
Cuba,0.778
Saint Kitts and Nevis,0.777
Antigua and Barbuda,0.776
Bosnia and Herzegovina,0.769
Mexico,0.767
Thailand,0.765
Grenada,0.763
Brazil,0.761
Colombia,0.761
Armenia,0.76
Algeria,0.759
Macedonia,0.759
Peru,0.759
China,0.758
Ecuador,0.758
Azerbaijan,0.754
Ukraine,0.75
Dominican Republic,0.745
Saint Lucia,0.745
Tunisia,0.739
Mongolia,0.735
Lebanon,0.73
Botswana,0.728
Saint Vincent and the Grenadines,0.728
Jamaica,0.726
Venezuela,0.726
Dominica,0.724
Fiji,0.724
Paraguay,0.724
Suriname,0.724
Jordan,0.723
Belize,0.72
Maldives,0.719
Tonga,0.717
Philippines,0.712
Moldova,0.711
Turkmenistan,0.71
Uzbekistan,0.71
Libya,0.708
Indonesia,0.707
Samoa,0.707
South Africa,0.705
Bolivia,0.703
Gabon,0.702
Egypt,0.7
Marshall Islands,0.698
Vietnam,0.693
Palestine,0.69
Iraq,0.689
Morocco,0.676
Kyrgyzstan,0.674
Guyana,0.67
El Salvador,0.667
Tajikistan,0.656
Cape Verde,0.651
Guatemala,0.651
Nicaragua,0.651
India,0.647
Namibia,0.645
Timor,0.626
Honduras,0.623
Kiribati,0.623
Bhutan,0.617
Bangladesh,0.614
Micronesia (country),0.614
Sao Tome and Principe,0.609
Congo,0.608
Eswatini (Kingdom of),0.608
Laos,0.604
Vanuatu,0.597
Ghana,0.596
Zambia,0.591
Equatorial Guinea,0.588
Myanmar,0.584
Cambodia,0.581
Kenya,0.579
Nepal,0.579
Angola,0.574
Cameroon,0.563
Zimbabwe,0.563
Pakistan,0.56
Solomon Islands,0.557
Syria,0.549
Papua New Guinea,0.543
Comoros,0.538
Rwanda,0.536
Nigeria,0.534
Tanzania,0.528
Uganda,0.528
Mauritania,0.527
Madagascar,0.521
Benin,0.52
Lesotho,0.518
Cote d'Ivoire,0.516
Senegal,0.514
Togo,0.513
Sudan,0.507
Haiti,0.503
Afghanistan,0.496
Djibouti,0.495
Malawi,0.485
Ethiopia,0.47
Gambia,0.466
Guinea,0.466
Liberia,0.465
Yemen,0.463
Guinea-Bissau,0.461
Democratic Republic of Congo,0.459
Mozambique,0.446
Sierra Leone,0.438
Burkina Faso,0.434
Eritrea,0.434
Mali,0.427
Burundi,0.423
South Sudan,0.413
Chad,0.401
Central African Republic,0.381
Niger,0.377
